,Author Id,Number of Tweets Made
97968,#568825299,3946
23908,#1355590891,3939
26077,#1377960994039681025,3935
112273,#873872685930954752,3922
76288,#2960235594,3917
91758,#453377412,3914
25207,#1368800628781191169,3886
11866,#1200027504230027264,3881
24293,#1359339324882362369,3873
68809,#255184064,3871
27751,#1395216421831929859,3869
79478,#315454044,3862
14770,#1243025179,3857
60698,#215562059,3854
57741,#19109056,3851
80422,#3221414178,3842
93119,#4740919877,3842
2923,#1054035642,3829
94264,#489231338,3825
73010,#279803594,3816
92874,#47081549,3811
103886,#733864045669810177,3776
4848,#1087481,3776
67247,#2465378965,3761
91532,#449306256,3747
65508,#237612784,3740
30712,#1419906195242971139,3724
60443,#213903403,3718
31638,#142649779,3699
25775,#1374979036137447428,3692
60499,#21451212,3688
4646,#1084326879127982081,3676
25001,#1366624936278716418,3669
105820,#765638249125703681,3668
42180,#1502245238315778049,3633
101485,#68021298,3619
63098,#22734723,3617
112894,#884776940153978882,3605
102343,#709569487729614848,3601
44347,#1518998120,3586
84659,#35729210,3577
106564,#777953351862456321,3572
106631,#778973430708219904,3555
55944,#17753670,3551
84508,#35600692,3546
11403,#1192699000043925505,3543
31400,#14248699,3535
93239,#475632078,3527
81236,#326793122,3526
70234,#262061789,3514
102391,#710205072806809600,3513
89617,#4184768087,3509
40873,#1493243686398087168,3506
85416,#366354910,3499
58508,#195989179,3499
84493,#355838462,3496
117323,#961128374751125505,3488
97270,#555090621,3471
56761,#18474634,3467
19549,#1302620497604014082,3462
10867,#1184692549551738880,3452
111366,#858950980989140993,3444
342,#1006232250,3437
7018,#1123828470,3433
69755,#25971449,3429
27164,#1389577277134950401,3420
46702,#1538463780,3414
62095,#22315925,3412
64991,#2355875629,3401
64417,#233062476,3398
70217,#26201787,3391
79639,#31655666,3389
113823,#900530772502650880,3372
81381,#3277827936,3355
100066,#615404103,3351
110519,#84392150,3350
84447,#355186886,3343
96057,#527943693,3336
76234,#2956801446,3335
87843,#395736670,3333
101867,#702290904460169216,3319
76595,#297889152,3309
62844,#2262116443,3304
106430,#775647396,3296
110992,#852207218,3290
54757,#16924832,3289
56229,#180122238,3287
77707,#3038998982,3278
91543,#449442602,3272
107471,#79379759,3268
89520,#41705641,3267
99974,#613584316,3262
59732,#20625289,3261
51809,#158900511,3256
102496,#711841401311375360,3248
7797,#1135850507606478848,3236
18077,#1283885249458352128,3234
3438,#1064038626017726464,3233
109514,#828698516033662976,3225
53259,#16136958,3221
106530,#777281389,3217
89411,#41559208,3214
48703,#1557476876914130944,3210
42676,#1506620226162634758,3209
91682,#451979107,3194
34452,#1446643791956348932,3191
75716,#2931645236,3181
11510,#1194241714602430464,3150
66956,#24500622,3142
111940,#868101092676050944,3141
5620,#1100579478105817088,3139
73480,#282568075,3138
87470,#3912879144,3133
22007,#1333719614446944256,3129
102892,#717942817,3129
98996,#591836711,3127
84626,#35705319,3122
18400,#1288064117136191489,3119
41205,#1495659306439512066,3116
64024,#2314735854,3114
75663,#2928592226,3112
52766,#16005515,3103
113558,#896377106,3098
84259,#352579709,3094
111455,#86018423,3091
71052,#2681647628,3086
49198,#1562386243794931715,3084
106438,#77580581,3084
82315,#3325100714,3079
72078,#2741661968,3074
16090,#1258571636619350016,3071
137,#1002522913235300352,3065
115029,#921220046856232962,3064
42185,#1502286999222644736,3056
101746,#700615214,3053
23380,#135007802,3049
62034,#222760645,3048
65591,#238011405,3048
13946,#123190171,3046
111697,#864151160,3042
31997,#142895119,3039
8510,#1147450812962000896,3035
81797,#3300579264,3026
48668,#15571195,3024
13038,#1218706662,3016
83034,#3389934591,3015
84096,#350833995,3011
24111,#135739887,3002
81942,#3306424254,3000
110110,#8376792,2997
84707,#357971706,2996
88993,#410438347,2995
61944,#222325565,2982
94870,#50004810,2981
107784,#79919104,2979
63036,#2271316134,2970
711,#1013466806,2958
31313,#14241904,2954
28565,#1403081742324432898,2947
63031,#227112128,2931
97613,#56151063,2930
94019,#4856228650,2925
66345,#24166347,2920
22523,#1340471954436837377,2918
101961,#70374110,2915
91357,#44596502,2913
101504,#68132912,2913
9790,#1167183590456606720,2910
56848,#185418654,2895
119196,#995642330966196225,2884
102575,#712852032,2881
86648,#38140504,2876
30247,#1416710670108618752,2874
62213,#22350907,2868
15510,#1251446049694081024,2866
92144,#459826200,2861
75001,#2900062862,2853
28636,#1403912203351183363,2840
37723,#1471735216368603137,2840
59395,#202962259,2839
114166,#905929470925787138,2834
86449,#379029145,2826
60492,#214437148,2819
95418,#513794929,2817
86814,#383622263,2810
110471,#843166470,2807
70772,#26619407,2804
96138,#52993425,2804
18264,#1286249657882914816,2783
98042,#5703342,2776
37600,#1470594465224019977,2775
79558,#31611549,2773
6818,#1120365821153308678,2773
32289,#1431140899426226179,2769
86183,#376076845,2768
85568,#3686036533,2763
13282,#1222080910750695424,2761
83317,#3421557673,2759
94708,#496554610,2757
70630,#26511427,2755
107393,#792318159399378944,2752
86138,#37553753,2751
114451,#91077495,2749
40630,#14914045,2748
90784,#43617831,2746
19667,#130427517,2738
26605,#1383769960711823375,2734
81423,#327930699,2728
4310,#1078214760426926082,2726
16364,#1261988867055345667,2723
86044,#374306975,2719
10015,#1170624643,2711
60372,#213379405,2708
32923,#143574971,2706
42494,#1504941184744972288,2705
32515,#1432831251153444864,2702
117996,#97340820,2698
92285,#461868762,2687
44324,#1518917727871676416,2683
22818,#1344537333077458944,2683
57992,#192718744,2683
87998,#3975878773,2681
100026,#61461530,2679
58806,#19745365,2677
92972,#47221753,2677
55151,#17181019,2672
97436,#558259110,2672
88827,#408163969,2671
58298,#1946243419,2667
35588,#1454971207216820226,2664
13764,#122928061,2663
21235,#1324476486,2661
116647,#949640563,2649
61758,#2211942841,2635
13798,#1229624354037567488,2626
63951,#2309826373,2623
16937,#1268611957,2621
74881,#2894513527,2620
104178,#738749805514493955,2619
6024,#1107005723840376832,2617
37807,#1472518796900331526,2615
59137,#20032587,2614
108154,#80550954,2602
110715,#847267330241380355,2602
37303,#1467701764489035778,2600
99572,#60498116,2599
54225,#1663758774,2599
112529,#87820328,2581
61247,#2183674998,2580
87279,#389229869,2576
75035,#2902344080,2566
1977,#1036966620,2563
13678,#1227990972077707264,2559
101949,#70353173,2559
84701,#357833234,2556
7422,#113010163,2553
103559,#728808839521296384,2549
111575,#86218391,2548
105156,#755058687287304193,2532
106368,#77487918,2530
16524,#1263759583618625541,2530
8854,#1152554104700276737,2530
101638,#69287162,2528
4064,#1074231471106273282,2526
2329,#1043395547468447744,2525
60065,#210320351,2518
3159,#1058279331594522625,2518
91810,#45443427,2515
23894,#1355397768,2513
24358,#1360169612,2511
111479,#860533549,2506
33305,#1438707917197176834,2502
115872,#9360352,2502
64144,#2320525034,2500
76482,#297148960,2485
57839,#191761621,2485
68876,#2555478498,2483
87086,#386943853,2481
108369,#809650903800156160,2473
116246,#94223392,2468
52772,#1600678208,2460
9029,#1154974635743576064,2454
101962,#703741154613792768,2448
78491,#308791209,2446
46402,#1535841006616457216,2444
55797,#176399326,2444
51087,#1581858978497122304,2438
84409,#354649467,2436
19859,#130668639,2425
115315,#92633481,2424
52742,#160017498,2418
83205,#3408951,2418
80192,#3198702128,2417
54207,#1662417452,2416
5246,#1093778077,2415
59145,#20037498,2412
50457,#157568648,2412
90728,#43516381,2407
68053,#2506040922,2401
59400,#202980899,2401
33211,#14380723,2393
37712,#1471652661942386688,2388
53656,#163421038,2383
95417,#51378153,2378
110659,#846391998,2375
62573,#2249585341,2370
93963,#4849270841,2370
60860,#21642162,2362
22682,#134276631,2357
42542,#1505365709840257026,2356
51178,#1582909339,2354
85762,#3711001,2351
