,Author Id,Number of Tweets Made
13074,#1219183103270215682,112
100709,#63026406,112
37060,#1465859980079386632,112
56643,#183672204,112
99803,#610157978,112
91507,#448654985,112
47907,#1549721120,112
42288,#1503242812061798402,112
87316,#38970090,112
37144,#1466521605018832897,112
68345,#252414058,112
106711,#78047981,112
15697,#1253620573,112
72453,#276587060,112
93535,#47917356,112
42613,#1506002576906473472,112
28227,#1399971595012034566,112
29572,#1411875963374243841,112
90041,#424514602,112
9438,#1161783629652955136,112
19595,#1303242601257033733,112
93406,#477669716,112
91145,#442452061,112
113069,#887984629612859392,112
4893,#1088114591379247104,112
19624,#130364282,112
16313,#1261366013985124353,112
95302,#51099609,112
79510,#315724420,112
49332,#1564030984672006144,112
2416,#1044944863144247297,112
65891,#239317000,112
103995,#735555577883983872,112
46749,#15388938,112
79921,#3182896963,112
10063,#1171515790144593921,112
10060,#1171459176,112
93524,#479113340,112
118975,#991191655704289280,112
62966,#2269015818,112
80536,#3226837297,112
83719,#346365356,112
63989,#2312393820,112
85839,#371915358,112
7591,#1132871045235347456,112
116847,#952821976040534016,112
117337,#961422308807081984,112
116874,#953181188,112
60324,#21290120,112
34037,#144388973,112
20940,#1320988283489300480,112
18106,#1284472370573582336,112
107805,#79951519,112
60494,#21444284,112
71244,#26945077,112
115059,#921877753355419649,112
108741,#816832160367714304,112
10835,#1184043487643066368,112
24819,#1364707347302469632,112
11709,#1197736924758200320,112
7526,#1131859463193784320,112
26631,#1384061522154954753,112
20644,#1317273604065812486,112
30040,#1415198742366474240,112
11112,#1188612101209640960,112
11751,#1198375045732552704,112
90154,#42599155,112
62198,#22349681,112
89880,#422240680,112
76641,#2983053661,112
95806,#52205738,112
114863,#918130261455290368,112
45457,#1527167775688769536,112
104846,#74999016,111
82523,#3342923112,111
9616,#1164495836736151552,111
55123,#171555406,111
89075,#411446887,111
96752,#54453997,111
33806,#1442116047306309638,111
67027,#2452883670,111
93060,#4731970362,111
108839,#818691397611982848,111
41015,#1494289472720347137,111
54482,#167824089,111
73395,#2820006415,111
112123,#871480747,111
19008,#1295673925288910852,111
99029,#592946538,111
41510,#1497813895477542917,111
25142,#1368209354231410692,111
102834,#716805020,111
68768,#2549145096,111
113058,#887864702,111
91280,#4443346577,111
8360,#1145252939146993665,111
35715,#1455719159237529603,111
88598,#40469017,111
118795,#987986390548758528,111
31998,#1428963700094894084,111
117389,#962206772,111
107586,#795766246192992256,111
88003,#3976354513,111
56968,#186076350,111
9679,#1165590779886067714,111
57867,#1919612864,111
49508,#156604550,111
69736,#259644615,111
21390,#1326276662934138880,111
65860,#2392388684,111
88287,#401080104,111
51926,#15901734,111
89818,#421552460,111
68933,#25590205,111
106946,#78506812,111
20911,#1320595770953793536,111
103674,#730568454,111
35728,#1455801276545978371,111
108630,#815021979157688320,111
21287,#1325043907634241536,111
63048,#22714628,111
74487,#287610618,111
78185,#3069036037,111
74767,#28903052,111
78866,#3109789040,111
66783,#24394649,111
14135,#1234808948814802944,111
106965,#78533009,111
2644,#1049337591584182272,111
104214,#739448700599074817,111
43284,#1511883852629049344,111
980,#1018092406183321600,111
106836,#78247803,111
85238,#364103846,111
21409,#132646210,111
57635,#190440698,111
46816,#1539657030,111
53813,#164247282,111
114074,#904334984558690305,111
57832,#191715906,111
66454,#2422204886,111
75843,#293714764,111
118089,#975144421384597504,111
46696,#1538440843559743488,111
54176,#1661471089,111
82180,#33173662,111
7050,#1124305708130791424,111
92229,#460896801,111
34245,#1445179094866415619,111
33095,#1437254953886617600,111
103644,#730228107542708225,111
61263,#218400242,110
13488,#12252042,110
5445,#109758031,110
33346,#1439066012649852930,110
69223,#257396331,110
51497,#1586213929973608448,110
43706,#1514796969037742081,110
40099,#1487669592923066370,110
116370,#944765598,110
104663,#74695085,110
76473,#2971011210,110
83870,#34826366,110
22873,#1345267016819589126,110
53642,#163329512,110
78761,#3104604655,110
33953,#1443231177825873923,110
73755,#2837569964,110
92591,#4666776223,110
73772,#283838310,110
3837,#1070689319780679680,110
31776,#1427403993723006983,110
71557,#271316857,110
12788,#1214852832215482370,110
23764,#1354245038,110
2944,#1054514115975143424,110
109445,#827788297,110
57792,#19142551,110
29448,#1410911893997309952,110
31008,#1422117395875782656,110
86687,#38183103,110
37939,#1473863559075434497,110
735,#1014067808831877121,110
13049,#1218828602810105857,110
24425,#1360975462655094785,110
76191,#2955363428,110
61305,#21855506,110
66344,#2416599026,110
74891,#28951105,110
66214,#241083553,110
12917,#1216696194253983745,110
71050,#268137967,110
69335,#25793394,110
18194,#1285508504,110
70164,#2617733504,110
35893,#145689950,110
95116,#50571883,110
25047,#136705529,110
86107,#375057649,110
71097,#2685316292,110
54049,#1655208342,110
81128,#3259700648,110
22846,#1344946659621437441,110
76639,#298295912,110
10465,#1177802554102538240,110
106604,#778546155563065346,110
108190,#806387323126554625,110
34924,#1450047298780549127,110
57841,#19176710,110
32121,#1429909713701859328,110
18879,#1294155820351942657,110
101058,#64262833,110
62551,#224831641,110
95001,#502623488,110
72682,#2780424535,110
35686,#1455547602095640582,110
25085,#1367454088271564806,110
80169,#3196766160,110
116735,#95094255,110
54906,#17034577,110
83770,#347021061,110
56510,#182698716,110
77287,#30148242,110
84123,#35118264,110
84327,#35377079,110
3987,#1073219236468793344,110
50153,#1572687524447031296,110
9982,#1170180715725484035,110
56200,#17985405,110
61844,#2217039092,109
58760,#197242424,109
92735,#46878495,109
34089,#1444241419275698179,109
28800,#1405404843104079875,109
3744,#1069724489900949504,109
106198,#77158683,109
105003,#752634458,109
76052,#294660175,109
39248,#1482133777187241984,109
79949,#3184518342,109
92443,#4645503620,109
45423,#1526880064520204288,109
116770,#951400680517910528,109
67502,#24778226,109
116081,#939716691143151616,109
101865,#702279362779852800,109
53195,#16104534,109
19694,#1304589574484578304,109
55214,#1721588816,109
115638,#931873931165810689,109
12246,#120700097,109
75857,#293809371,109
91169,#44274118,109
40459,#149022176,109
80453,#3223240088,109
3738,#1069691336184348672,109
84819,#35947772,109
97552,#56052935,109
11693,#1197456460810031104,109
26022,#1377203026021220357,109
26830,#1386212825362702336,109
75343,#29149643,109
91912,#45567784,109
8848,#1152481450152718336,109
2177,#1040791330232754177,109
69205,#257291243,109
90526,#4322041158,109
59820,#20733793,109
78637,#3097428582,109
48880,#1559317019086180352,109
102637,#713901146,109
81806,#3300998558,109
53635,#16329558,109
89088,#411806905,109
71517,#2710625435,109
108283,#808132087,109
94736,#497629585,109
118507,#98251172,109
11347,#1191937396494995456,109
43561,#1513804554,109
87706,#394258261,109
12543,#1212142141893300224,109
14003,#1233037504049082369,109
73830,#2841267029,109
118876,#989093639895900160,109
11138,#1189002601,109
104146,#738305389729439744,109
19564,#1302833788397920256,109
63452,#2288847576,109
39089,#1481175266680803331,109
76843,#2992106814,109
86538,#380218701,109
9285,#1159268934,109
26434,#138207171,109
42116,#1501861632011423746,109
13562,#1226399350944743424,109
78656,#3099017666,109
119233,#99645123,109
83020,#338934594,109
116569,#948529148187705346,109
70079,#26142994,109
54999,#170888408,109
64369,#23296403,109
29620,#1412163211042836488,109
101566,#68658006,109
503,#1009279238342619136,109
4911,#1088391194802032640,109
112423,#876233779399884801,109
75641,#2927415800,109
98464,#580060640,109
13541,#1225984470676754432,109
71492,#2708479766,109
112450,#876592795963736064,109
118460,#981598524,109
85867,#372185217,109
71219,#2692407433,109
115986,#938060574805463040,109
110719,#847315361171030016,109
21000,#1321564242655342592,109
62805,#22608062,109
10472,#1177894006195286016,109
81954,#3307160016,108
47206,#1543217958,108
86169,#375955921,108
113308,#891957683552632832,108
117059,#9561522,108
97046,#550856474,108
60773,#2160309559,108
98020,#569824898,108
44225,#1518694114883440640,108
26309,#1380712105171505155,108
71251,#2694912583,108
99954,#613325275,108
75685,#293009596,108
56455,#18205779,108
68922,#25584144,108
115163,#923514886298075137,108
37818,#1472619120000524289,108
5062,#1090796946313207808,108
74671,#2885489483,108
23148,#1347803635225223168,108
104815,#749458172910247936,108
61293,#21850491,108
57546,#1899562302,108
108969,#820503116529496065,108
104528,#744518047474417664,108
110419,#84244322,108
61232,#218342970,108
91877,#4552416013,108
27673,#1394287464018190336,108
45059,#1523898685150871552,108
43447,#1512981340299280384,108
108237,#807194604030132227,108
15753,#1254333149208653824,108
21196,#1324103474867392512,108
68690,#25460331,108
86663,#381501845,108
117584,#965765464684032000,108
109430,#827619413377458176,108
25033,#1366951715983958019,108
107902,#801059785311297536,108
55320,#1727157830,108
111140,#85509836,108
109443,#82776862,108
43089,#15102742,108
33367,#1439252832,108
53342,#1617829423,108
35148,#1451753596869955590,108
78615,#3096045595,108
1942,#1036445597157322754,108
58656,#1967663780,108
22490,#1339836057492197377,108
13915,#1231356403547164672,108
117005,#955416553910034433,108
30584,#1419167066372726793,108
18853,#1293758292649373701,108
49013,#1560541438206623745,108
105922,#767256932,108
73853,#2842498705,108
63684,#22983937,108
115090,#92239385,108
105617,#762168931217833985,108
13011,#1218163889378074624,108
61027,#2172951440,108
89789,#420956766,108
82923,#338288925,108
21713,#1330356190480642048,108
56298,#18065082,108
96227,#53253912,108
110980,#852103726441664515,108
115727,#933676422,108
67648,#2485161,108
119230,#996404359880691712,108
25505,#1372117805395447812,108
24595,#1362286170369970181,108
80389,#321997024,108
29320,#1409861012304535554,108
109455,#827989340319920128,108
13680,#1228007057950990336,108
71785,#2724953774,108
98613,#58362832,108
102171,#706948744730820608,108
112943,#885680946,107
64115,#231846876,107
66496,#2424307548,107
64153,#232075924,107
33932,#1443111725562089480,107
67790,#249370633,107
70024,#261129851,107
6699,#1118476822524489728,107
116327,#943809009265524737,107
86147,#375631687,107
118190,#976614791765663744,107
92256,#4613452896,107
26246,#1380045926161477634,107
37351,#146809125,107
64154,#232077113,107
87666,#393809169,107
23584,#1352205667,107
6749,#1119134644241256448,107
94162,#4880112795,107
66333,#24158468,107
48387,#1554316110077448197,107
35652,#1455384605234655235,107
72771,#2784892118,107
17514,#1276475492011438080,107
38947,#1480371500221800451,107
28905,#1406482523924819975,107
8439,#1146341346,107
1807,#1033637910468222976,107
24540,#1361904018,107
77608,#303241744,107
111183,#85604901,107
15638,#125313466,107
75876,#2939113291,107
69308,#25784366,107
497,#1009204619182915584,107
21896,#13328,107
94029,#485706967,107
17374,#1274566349314899968,107
62281,#2237369250,107
106681,#780070357784862720,107
21536,#1328063535323041792,107
78549,#3092207594,107
114386,#909892169502093312,107
55103,#17144370,107
41709,#14991540,107
20657,#131738260,107
20932,#1320868802628759552,107
104986,#75237780,107
83179,#340690569,107
87934,#39697728,107
82292,#3323331194,107
89109,#412114953,107
22744,#134360572,107
62400,#2243703900,107
34521,#1447145027881209856,107
79993,#3186988778,107
88490,#403310535,107
2493,#1046904515411079168,107
56706,#18425330,107
19245,#1298667103390781440,107
107008,#786010868,107
74192,#285944164,107
91318,#445186174,107
24033,#1356811699173564417,107
86087,#374822089,107
97892,#567132279,107
89816,#421512424,107
17236,#1272527253843390471,107
115521,#929672629052588032,107
86933,#385222622,107
24242,#135887100,107
18161,#1285138093,107
98249,#575294721,107
67313,#2467333260,107
114850,#917925712622845953,107
875,#1016368499764035584,107
101241,#65853076,107
69954,#260676799,107
15193,#1247824690564874240,107
62381,#22429107,107
118248,#977706551115788289,106
25458,#13716172,106
104455,#74328665,106
471,#100872294,106
71359,#26992250,106
2174,#1040731740166250497,106
8157,#114188733,106
74560,#287953194,106
58669,#1968250436,106
46507,#1536621909479419905,106
84836,#359796470,106
37760,#1472121921340784640,106
118283,#978330126466236416,106
12603,#1213066083176873985,106
103777,#732155096230830080,106
12484,#12113172,106
107106,#787613352658808832,106
24465,#1361353393,106
75130,#29065700,106
83311,#34206409,106
32899,#1435528656948846594,106
62555,#2248393262,106
59110,#20009400,106
76434,#29685179,106
92295,#462042397,106
11173,#1189499530711973888,106
110211,#839300018192318464,106
60063,#210264003,106
45126,#1524359730600177665,106
71995,#273748196,106
41985,#1501018179618885636,106
59663,#205594238,106
87245,#388702412,106
67917,#250006405,106
3042,#105621382,106
118308,#978845499242483715,106
34591,#1447712875,106
69126,#256826856,106
50954,#1580172110676172800,106
26542,#138306871,106
58243,#19430056,106
113982,#902889682886828034,106
27375,#1391616890515062785,106
92225,#4608623233,106
36649,#1462540773837062151,106
68935,#2559067837,106
9274,#1159064878734200833,106
8551,#1148060323225600000,106
17492,#1276130989564035072,106
86531,#380177191,106
25913,#1376253259,106
25914,#137627221,106
107565,#795324108,106
60079,#210447397,106
89521,#41706471,106
7212,#1127121811,106
90700,#434767727,106
64278,#23259910,106
55239,#17227232,106
49824,#1569247909937565696,106
1520,#1027943691720130561,106
109473,#828208378350432257,106
5769,#1102869746515566597,106
42561,#15054888,106
52665,#1598654641172275200,106
46253,#1534368325274411008,106
63785,#2302504662,106
99192,#596415404,106
58719,#19700041,106
593,#101108888,106
56445,#18199081,106
104515,#744339819166212096,106
5616,#110049602,106
3340,#1062141612,106
31035,#1422327394518540288,106
116106,#94010744,106
79816,#3177149540,106
72172,#274816497,106
63244,#2279918172,106
83270,#3416375260,106
15791,#1254832528998846465,106
19174,#1297815108899356674,106
75332,#2914590295,106
7889,#1137431406802456576,106
77823,#3046358161,106
43517,#1513450329333207044,106
116115,#940159946,106
73905,#28455800,106
58723,#19700917,106
23241,#1348719742157144064,106
20679,#131758659,106
119250,#996743880266715137,106
109663,#83095798,106
48238,#1552786515587383296,106
7965,#1138734384,106
105713,#763808581967720448,106
19738,#1305031457996337153,106
99526,#603606778,106
80477,#3224275279,106
109233,#824880488,106
69766,#2597432510,106
97305,#555693331,106
76464,#297060391,106
88207,#399924119,106
114804,#917264724193984512,106
49683,#1567862362128142341,105
106879,#783528709588389888,105
86364,#37842736,105
66183,#240935416,105
106839,#782581662588600320,105
71215,#269228164,105
7585,#1132798848718368768,105
115905,#936483405365051392,105
63219,#2278527012,105
11656,#119676689,105
105739,#764337222451466240,105
37211,#14669878,105
73801,#283996948,105
52126,#1592254857808732160,105
33981,#1443470348,105
67563,#248130717,105
51230,#15834955,105
64147,#232057563,105
98816,#58787070,105
96889,#54752822,105
79557,#316114442,105
29229,#1409329884116131842,105
61512,#219776952,105
24359,#1360179909465833474,105
2173,#1040724677629435904,105
112887,#884687364232101888,105
84516,#356078591,105
87322,#3897643332,105
59956,#20899663,105
112699,#881419540093063170,105
58975,#19881563,105
97512,#560056938,105
101070,#64348446,105
47841,#1549040923,105
96318,#534947330,105
71723,#2720933995,105
96381,#53620313,105
38070,#1474885257975398402,105
38824,#1479637116933984258,105
73246,#281030516,105
64416,#233060965,105
94763,#49832487,105
116621,#9493572,105
28913,#1406527081849135107,105
14918,#1244518500460187648,105
53704,#1636925599,105
107255,#790387850,105
96103,#529095383,105
94928,#501209959,105
53853,#1644578198,105
83479,#343840295,105
38881,#1479966340257443843,105
15975,#1257112097365692416,105
75196,#290947338,105
84295,#353381552,105
76651,#298333698,105
116284,#943047466139529216,105
18997,#1295546023704633344,105
86750,#382667046,105
10498,#1178507952400977920,105
100150,#617089005,105
30503,#141858228,105
30088,#1415570940105134083,105
119031,#992227993786331141,105
99501,#60320323,105
91838,#45472006,105
61612,#220284353,105
28829,#1405678596845228035,105
33394,#14394796,105
43768,#15152140,105
62592,#225023691,104
40660,#1491662945117347840,104
95768,#521131630,104
76951,#2996939874,104
84813,#35937836,104
16071,#125828830,104
67912,#24998257,104
60008,#20962944,104
108,#1001967449695174656,104
106352,#774551786,104
116289,#94311203,104
110101,#83754597,104
2933,#1054279497057370112,104
55367,#1730752513,104
12178,#1206114349464506368,104
55555,#17437511,104
32922,#1435740812562911236,104
112554,#878710290,104
90693,#43469918,104
106976,#785466520172244995,104
115839,#935651138551955456,104
104600,#74583618,104
33393,#1439476452433428482,104
61111,#217727714,104
20241,#1311899086111432704,104
28721,#1404762317326217216,104
4641,#108427453,104
65165,#2363228582,104
35542,#1454556266961903622,104
40617,#1491339863941332996,104
105337,#757815294370865152,104
20717,#1318123789842960384,104
3398,#1063239656697847809,104
41672,#1498856445588418560,104
7445,#1130417189847044096,104
64665,#23419392,104
4904,#1088292320938582016,104
33215,#1438103185101496329,104
114718,#915542803140165633,104
11637,#119647714,104
40274,#1488828310880944130,104
74470,#287565951,104
70750,#2659475605,104
90094,#425376720,104
107620,#796304786748416000,104
72679,#278037835,104
2454,#1045878116562784256,104
11736,#1198079317101531136,104
91288,#444534554,104
55586,#174610314,104
116541,#948064416049668102,104
73432,#2823232104,104
72863,#2789687149,104
113143,#889058527288762368,104
65372,#237176284,104
85895,#372635764,104
103189,#723023561800077312,104
29303,#1409760839423332373,104
165,#1003035051066458112,104
96268,#533339668,104
92548,#4661521093,104
100210,#61824650,104
38561,#1478247650541535234,104
19481,#1301487852266508288,104
113120,#888618732079136768,104
117498,#964154412271726592,104
77663,#3035733209,104
88971,#41010461,104
114431,#910457759828557824,104
30997,#1422024090441814018,104
18345,#1287297134824312832,104
75255,#2911535736,104
34076,#1444152305075429377,104
83847,#347938808,104
92252,#461214411,104
111592,#86245212,104
87460,#391195449,104
58026,#192848711,104
8505,#1147406807700127744,104
3459,#1064392235146371073,104
28470,#1402216043246804994,104
77176,#301014343,104
94214,#4887151622,104
12076,#1203932409198067712,104
4554,#108263069,104
3258,#1060299356572545024,104
101476,#67935788,104
105325,#757709036414316544,104
97105,#55216497,103
18657,#1291149494784937984,103
10193,#1173618166641123328,103
93238,#475629345,103
115435,#928231190804381696,103
35955,#1457310013517557760,103
20494,#1315401866,103
72068,#27408267,103
113164,#889534495065387009,103
6462,#1113974321045811200,103
1809,#1033683077522837506,103
99054,#593562202,103
63602,#2293974678,103
102073,#705316999065260032,103
4383,#107952808,103
111122,#854903108089954304,103
31058,#1422408099843895296,103
20546,#1316062883898445825,103
21754,#1330820605466140672,103
35603,#1455058102684819456,103
71439,#2705341904,103
24956,#1366224501730549764,103
22552,#134080746,103
36734,#1463267170394148870,103
9476,#1162246403545948161,103
35945,#1457259042024292352,103
43731,#1514925121596981248,103
67732,#248976871,103
44646,#1520724781393276928,103
1762,#1032586515992342529,103
58006,#192779721,103
64583,#2338259760,103
63414,#22873371,103
55351,#172942966,103
90561,#43278569,103
66627,#2431235347,103
114379,#909715811023036416,103
36208,#1459122408623804418,103
37649,#1471010070,103
67107,#24586542,103
95260,#509728741,103
58652,#1967428848,103
60962,#216944292,103
81883,#3303989053,103
8119,#1141344697681510400,103
15845,#1255491894924185608,103
39386,#1482932760474169345,103
49153,#1561986325645242368,103
37862,#1473104893908975617,103
10025,#1170807954,103
57218,#1878514027,103
117814,#969852402244321280,103
25565,#1372699272957685767,103
109855,#83378081,103
5942,#110570775,103
119237,#996554679164190720,103
65221,#236585963,103
46662,#1538086147921825793,103
112907,#885053658,103
117301,#960812268035358720,103
79283,#3140760060,103
1454,#1026681390,103
55501,#1738876603,103
91881,#45531563,103
100702,#630145691,103
99876,#611620696,103
110849,#84961157,103
117535,#965057311499628544,103
118298,#978583800253857792,103
22144,#1335130723,103
52468,#1596407243272257536,103
8196,#1142670089323368448,103
43275,#1511784191456808961,103
118244,#977653378032418816,103
47732,#1547978724,103
46386,#153556609,103
87056,#3865815918,103
55149,#171799504,103
66495,#2424294932,102
91736,#45307752,102
39905,#1486604941837811712,102
6867,#1121048395466993664,102
52830,#160167935,102
84121,#3511680792,102
91430,#44745519,102
25569,#1372750058584563714,102
103643,#730221228,102
104478,#743683150694342656,102
3163,#1058338994319056896,102
109819,#83337444,102
72477,#27679065,102
92153,#459905626,102
31377,#1424703528040235009,102
2256,#1042160259735801856,102
98330,#57716041,102
66015,#2399026945,102
106521,#777131367977000960,102
84500,#3559645704,102
78248,#307276909,102
2595,#104850694,102
111570,#862159638707412992,102
83454,#343336505,102
37687,#1471386719685537793,102
4750,#1085993479199576064,102
2025,#1037874837677457409,102
16819,#1267290115858026496,102
74886,#28947358,102
103170,#722721504581062658,102
91477,#44841469,102
28453,#1402140213426626574,102
48344,#1553910258359468032,102
108031,#803220349,102
4609,#1083543240467394560,102
61251,#2183735030,102
50608,#1576886482941652992,102
51471,#15860051,102
89414,#41561382,102
26183,#1379314711531978752,102
11323,#1191640992,102
105476,#759882112006705152,102
57213,#187841938,102
92837,#470483567,102
100995,#637269779,102
64532,#233609108,102
88294,#401151910,102
66572,#2428831196,102
11206,#1189874768566091776,102
8220,#1143013761667649537,102
4129,#1075262378,102
64806,#2349754711,102
54408,#167398823,102
55202,#17209259,102
94047,#48599945,102
64574,#23377817,102
91527,#449172777,102
46957,#1541022290963742720,102
85612,#36898442,102
111178,#856006538858713088,102
67796,#249381763,102
26418,#1381884841591889922,102
16150,#1259208902,102
99005,#592280773,102
65094,#2359219580,102
16383,#1262248939207528449,102
20076,#1309747997660471298,102
3123,#105761981,102
6373,#1112500288206700544,102
57224,#187868644,102
26643,#1384150921207160833,102
65824,#239100877,102
7418,#1130064606074826752,102
117205,#958906549845426176,102
104232,#739770745572622337,102
68026,#25045790,102
103955,#734948925367427076,102
38883,#1479974456369946626,102
13740,#1228891621070032898,102
6548,#1115564658872569856,102
67459,#2475317167,102
29404,#1410604625007239172,102
104639,#7466612,102
62648,#225370549,102
51474,#1586035928996331520,101
41791,#1499695877723914240,101
58585,#1963940569,101
112772,#882548548159520768,101
21276,#1324924678813577216,101
92393,#463616883,101
111411,#859427262,101
69700,#2595734868,101
67544,#248020161,101
99826,#610705435,101
1060,#1019422744125947904,101
9171,#1157490806283882497,101
74627,#28827600,101
65266,#236776085,101
40705,#1492024740776902662,101
32013,#14290392,101
88613,#404869728,101
66017,#23990366,101
98536,#581735344,101
44829,#152191873,101
8382,#1145622802046697473,101
20958,#1321183680,101
13337,#122299579,101
13869,#1230655795185930242,101
55433,#17353284,101
69604,#2592163477,101
57327,#18856006,101
15346,#1249719567640743937,101
40527,#1490645663658360834,101
3115,#1057527072212561920,101
110616,#845531628931760129,101
26783,#1385769123917963270,101
93806,#48320408,101
93746,#482667482,101
55379,#1731416078,101
93413,#4777982006,101
68815,#2552277558,101
55684,#17538596,101
66288,#24140928,101
7045,#1124226109464293376,101
84782,#359221400,101
4378,#107945920,101
25043,#1367015056727154689,101
101125,#64917670,101
88177,#3996333379,101
101975,#70385284,101
5670,#1101277471553380352,101
38034,#1474546946,101
108714,#81627870,101
77275,#3014119692,101
60355,#213177669,101
43817,#1515572910,101
50491,#1576036201814904832,101
86379,#378541599,101
19430,#130085158,101
103462,#727306174215778304,101
64941,#2354504988,101
34032,#1443877216601853952,101
38544,#1478190044233945095,101
24104,#1357341861627584521,101
81737,#329724560,101
18347,#1287314993168474113,101
10262,#1174900255017467907,101
59476,#203703517,101
88202,#399890354,101
57137,#187374619,101
67717,#248903577,101
33210,#1438070696131764234,101
70804,#266444491,101
28231,#1399990115607269381,101
56826,#185279443,101
108139,#805215955299115008,101
94694,#496112511,101
9665,#116533982,101
80530,#3226149872,101
85756,#37104990,101
38675,#1478869051984072706,101
22805,#1344348103,101
61206,#2182139029,101
39765,#1485556448419790855,101
18746,#1292280968846352385,101
34736,#1448644207690731531,101
56763,#18477683,101
96143,#53003952,101
34173,#1444806075190894594,101
63936,#230935099,101
9378,#116091576,101
100717,#630687631,101
11360,#1192030709747052544,101
12461,#1210919034717261824,101
60504,#21459073,101
69067,#2565606126,101
1928,#1036128348995342336,101
109119,#822699537793839105,101
100410,#622454027,101
96748,#54443053,101
34156,#1444643486,101
66490,#2423848547,101
108307,#808391455,101
86439,#378973873,101
25018,#1366739227669536770,101
77114,#300707389,101
43354,#1512326066248974344,101
94463,#491970668,101
108593,#814373337178587140,101
34454,#1446664888009441285,101
67177,#24622376,101
48324,#1553685268569268224,101
109214,#824497254,100
9609,#1164372804801662976,100
70975,#2675848608,100
99956,#613333402,100
118345,#979515098971627520,100
107799,#799450771985076226,100
13208,#1220998206940536832,100
89927,#423059742,100
53836,#164356713,100
60753,#2158642938,100
103897,#733974253,100
94793,#498776542,100
89589,#418064386,100
16601,#1264874786481553414,100
42169,#150220078,100
9543,#1163335906167627776,100
90501,#431639725,100
77317,#301674973,100
70527,#264552479,100
94456,#491933502,100
69101,#256708563,100
84393,#35447620,100
113551,#896291539,100
74540,#28788222,100
113445,#894470835515215872,100
34687,#1448317524387536896,100
93691,#4817900960,100
42450,#1504638565602697216,100
116241,#942167460706258944,100
32966,#1436147056750444575,100
112804,#883107631409242112,100
55183,#171953068,100
87377,#390311246,100
23031,#1346772815790231557,100
96747,#54442619,100
77109,#300684463,100
110927,#85078633,100
13099,#1219583725480005632,100
113797,#899990046,100
2257,#1042169257,100
16366,#1262004584685301761,100
41654,#1498783281600688128,100
75579,#2923534723,100
115740,#933910460889382912,100
61007,#2172066714,100
46631,#15377999,100
101115,#6476372,100
82125,#33148400,100
117253,#959753234242969600,100
44006,#1517080442637533186,100
55604,#174721317,100
68713,#2547045841,100
27341,#1391229455155093508,100
32531,#1432935739071754242,100
109670,#831008533,100
106166,#771176061589557248,100
49140,#156188856,100
8112,#1141268262744801281,100
104001,#73569020,100
29556,#14117770,100
23910,#1355642879843082244,100
8165,#1142022127,100
38560,#1478244981919805442,100
83534,#344431538,100
65720,#2386043782,100
34068,#14441082,100
104185,#738911636182814720,100
114334,#90865232,100
93928,#484650617,100
76427,#296817387,100
64314,#2327606201,100
50323,#1574295245356834816,100
36027,#1457908526328676359,100
111512,#861074939046019072,100
116848,#952828092208226304,100
76571,#297794775,100
80514,#322571989,100
115892,#936223378855288833,100
70290,#2624451109,100
36316,#1459850006685315073,100
86307,#37758451,100
57908,#192191745,100
15486,#1251176460,100
95506,#515398988,100
5105,#1091561300784644096,100
11486,#119392665,100
61653,#220611539,100
10815,#1183643525088309249,100
36243,#1459404857224286215,100
111849,#866613633870045184,100
117443,#96325459,100
22471,#133957901,100
82280,#3322239618,100
80764,#323836657,100
56990,#18629939,100
38456,#1477601925117874177,100
69702,#2595757933,100
80581,#32298304,99
66786,#2439563263,99
111966,#868647186296209409,99
82896,#33809497,99
82899,#33811366,99
91461,#44820390,99
12832,#1215540996684967936,99
119132,#994192229517295616,99
103341,#725334127,99
74353,#2868779929,99
112928,#885386483753865216,99
15629,#1252979947162853378,99
29262,#1409438592,99
100656,#62889082,99
114395,#909956207133077504,99
10997,#1186566830225158144,99
93169,#47481630,99
103713,#73106978,99
80766,#32384908,99
61482,#2195966832,99
59422,#20312098,99
33889,#1442773172147740672,99
40383,#1489578651561922569,99
110941,#85109967,99
25882,#1375980678542675968,99
116355,#944491635332677632,99
109089,#822277741256941568,99
17576,#1277385037487337472,99
86810,#38358789,99
22045,#1334045469169704962,99
35393,#1453486614915600388,99
62830,#226150053,99
37969,#1474049372820148226,99
31794,#1427488016,99
58361,#1950271572,99
82600,#3348650531,99
73804,#284002032,99
105327,#75771933,99
19796,#1305830087577616384,99
91154,#4425765794,99
91790,#45382674,99
17160,#1271585716628148224,99
96333,#53525568,99
8275,#1144072806293880833,99
68005,#25037381,99
85554,#36827853,99
91512,#44873592,99
31863,#1427941946874470405,99
46170,#1533656897135312896,99
14804,#1243324502550822912,99
20821,#1319627203110268928,99
63367,#228605179,99
40176,#1488140115100975104,99
107991,#802510902134083585,99
24815,#1364582075446140929,99
65370,#237172891,99
21148,#1323595195363909632,99
2823,#1052391856409989120,99
104877,#750537818804457473,99
116777,#95150324,99
542,#1010068200,99
535,#1009953018626764801,99
78183,#306902752,99
107774,#798962459528679424,99
79582,#31628539,99
4821,#108702567,99
67884,#249885272,99
19983,#130831539,99
1932,#103619472,99
5234,#1093667010,99
79546,#3160516362,99
64825,#235057203,99
58123,#1935982807,99
47966,#1550269305702723584,99
473,#100876281,99
78517,#308950221,99
33317,#1438793392784232454,99
101187,#65349742,99
74874,#2894300141,99
33859,#1442501128902483983,99
117515,#964580442,99
86615,#3810621854,99
40796,#1492707195896532995,99
68086,#2507209555,98
